discogsIndex	discogsID	nRelatedPersons	songName	Artists	Writers
166376	[r203207]7	4	New World Order	Mr. X & Mr. Y	Professor Klaus|Afrika Islam|WestBam
11468498	[r1829841]5	1	Colourless Colour	La Roux	-
27354677	[r367218]2	9	Corporal Jigsore Quandary	Carcass|The Berzerker|Vulgar Pigeons|Alienation Mental|Evocation	William Geoffrey "Bill" Steer|Jeffrey "Jeff" Walker|Ken Owen|Michael Amott
26663238	[r4397889]B5	4	Torpedo Girl	KISS|The Torpedo Girls	Vini Poncia|Ace Frehley
3452653	[r3582862]A2	4	Mandrake Root	Deep Purple	Rod Evans|Ritchie Blackmore|Jon Lord
21790270	[r2820034]A1	4	Green Onions	-	Steve Cropper|Lewie Steinberg|Booker T. Jones|Al Jackson, Jr.
38763481	[r2971636]B5	4	Island of Domination	Judas Priest	Rob Halford|Kenneth Downing|Glenn Tipton
9689000	[r4978894]1	9	Don't Let Go (Love)	En Vogue|Little Mix|Glennis Grace|Berget Lewis|Edsilia Rombley	Ivan Matias|Organized Noize|Andrea Martin|Marqueze Ethridge
12695014	[r2153095]A	4	You Don't Have to Say You Love Me	-	Vicki Wickham|Vito Pallavicini|Pino Donaggio|Simon Napier-Bell
13774423	[r504771]A	1	What I Want	Dead or Alive	-
5859010	[r933613]A	3	Rasputin	-	Fred Jay|George Reyam|Frank Farian
27709827	[r4619321]B	1	The Red Rooster	-	Willie Dixon
23385633	[r3942611]A	1	Up on Cripple Creek	-	Robbie Robertson
24857423	[r3411532]A5	2	Tenderly	-	Jack Lawrence|Walter Gross
34661041	[r1589237]A1	3	I Walk the Line	Jeffrey Venturo|Blitzkid	Johnny Cash
24123570	[r475934]A	1	metal guru	Marc Bolan	-
21518422	[r1992671]B3	2	Out of My Dreams	-	Richard Rodgers|Oscar Hammerstein II
20118776	[r892676]B1	1	Feel Like Makin' Love	-	Gene McDaniels
36510642	[r4648485]A4	2	It Could Happen to You	-	Jimmy Van Heusen|Johnny Burke
29077717	[r594938]A6	3	Molina	Klaus Wunderlich|Creedence Clearwater Revival	John Fogerty
13934081	[r2572322]A	1	Billie Jean	-	Michael Jackson
31327891	[r373288]1	1	Heart-Shaped Box	-	Kurt Cobain
21370578	[r2530956]F2	1	Weihnachts-Oratorium, BWV 248: Teil VI, LV. Recitativo "Da berief Herodes die Weisen heimlich" (Evangelista)	-	Johann Sebastian Bach
25530192	[r1343916]2-8	2	Lady Jane	-	Keith Richards|Mick Jagger
39288960	[r2151964]A	3	Eternally	-	John Turner|Geoffrey Parsons|Charlie Chaplin
24429831	[r1224903]B2	1	Symphony no. 7, "Sinfonia antartica": IV. Intermezzo: Andante sostenuto	-	Ralph Vaughan Williams
17738893	[r2720025]B3	3	Poet and Peasant: Overture	Thomas Trotter	Edwin Evans|Franz von Suppé
27205571	[r1328683]A	2	Living in America	-	Charlie Midnight|Dan Hartman
12648963	[r469591]1	5	Gonna Get Along (Without Ya Now)	The Lemonheads|Mr. President|Viola Wills|She & Him	Milton Kellem
32003081	[r1506936]B3	3	Storm in My Soul	Gallagher & Lyle	Graham Lyle|Benny Gallagher
12374587	[r6140303]A	4	You to Me Are Everything	The Real Thing|Jadranko	Ken Gold|Michael Denne
14907926	[r2246387]2	5	I See You (Theme from Avatar)	Clare Teal|Leona Lewis	Kuk Harrell|Simon Franglen|James Horner
29726788	[r1102208]A1	2	Special One	Ultra Vivid Scene	Kurt Ralske
25606337	[r2707175]2	1	Enter the Ninja	Die Antwoord	-
14850203	[r968857]B	4	Include Me in Your Life	Diana Ross|Marvin Gaye	Marilyn McLeod|Mel Bolton
1660011	[r240904]A	4	Holding On to Nothing	Agnelli & Nelson	Audrey Gallagher|Chris Agnelli|Robbie Nelson
14737825	[r577470]A	2	We've Only Just Begun	-	Paul Williams|Roger Nichols
35155007	[r874068]10	1	Kivi itkee vihreää	Viikate	-
387705	[r9115]A	3	Giv Me Luv	Alcatraz	Jean-Phillippe Aviance|Victor Imbres
22027365	[r1029095]A	3	Only When You Leave	Spandau Ballet|Tony Hadley	Gary Kemp
24996695	[r383660]2	4	Silence, and the Firmament Withdrew	Dark Tranquillity	Martin Henriksson|Niklas Sundin|Mikael Stanne
39421691	[r545523]1	4	Main Title (Braveheart)	London Symphony Orchestra|Choir of Westminster Abbey|The Cundeez	James Horner
7285001	[r1177057]1	4	Toxic	-	Christian Karlsson|Pontus Winnberg|Cathy Dennis|Henrik Jonback
37556720	[r1064392]A	3	The Heart of Rock & Roll	Huey Lewis & The News	Huey Lewis|Johnny Colla
28591469	[r1337007]A	2	You Must Have Been a Beautiful Baby	-	Harry Warren|Johnny Mercer
4980376	[r4392346]B4	4	Long Time Gone	Crosby, Stills & Nash|Crosby, Stills, Nash & Young|Deja Blue Grass	David Crosby
35498850	[r5140519]1	3	Learn to Be Still	Eagles	Stan Lynch|Don Henley
14730715	[r431797]9	2	Not My Only Friend	The Teardrop Explodes	Julian Cope
40582762	[r2736986]A	3	Go Where You Wanna Go	The 5th Dimension|The Mama's and the Papa's	John Phillips
22902177	[r4923238]B5	1	Oktett: V. Fuge und drei altmodische Tänze (Walzer, Polka, Galopp)	Paul Hindemith	-
7093523	[r5468850]3-6	1	Préludes, Livre I, L. 117: VI. Des pas sur la neige. Triste et lent	-	Claude Debussy
3342010	[r188472]B1	3	Let Her Go	Strawberry Switchblade	Rose McDowall|Jill Bryson
9399807	[r1919049]A1	7	Le Plat Pays	Pierre Bachelet|Serge Lama|Nana Mouskouri|Les Enfoirés|Fernando Lameirinhas|Koen De Cauter	Jacques Brel
15499266	[r5590826]A	3	Da Ya Think I’m Sexy?	-	Rod Stewart|Carmine Appice|Duane Hitchings
39337566	[r1025160]4	2	Dime	CAKE	John McCrea
18943625	[r1456515]B1	6	Spinning Wheel	Blood, Sweat & Tears|Cæcilie Norby|Tom Wopat|Percy Faith|His Orchestra & Chorus	David Clayton-Thomas
25416870	[r3809223]2-3	4	It's Too Late Baby	Derek and the Dominos|Bob Dylan|The Crickets	Chuck Willis
34224183	[r3628733]A	3	Unanswered Prayers	Garth Brooks|Pat Alger	Larry Bastain
34843829	[r1338568]A2	2	There Is Nothing Like a Dame	-	Richard Rodgers|Oscar Hammerstein II
43108427	[r3169459]12	2	The Song Is You	-	Oscar Hammerstein II|Jerome Kern
40031420	[r5969535]A2	9	In the Garden	Elvis Presley|Jim Reeves|Pat Boone|Over the Rhine|Sister Rosetta Tharpe| The Anita Kerr Singers|James Roots Quintet|The Rosette Gospel Singers	Charles Austin Miles
16385257	[r1525414]A	2	Teach Me Tonight	-	Sammy Cahn|Gene de Paul
27491574	[r1919340]CD16-6	6	The Inner Light	The Beatles|Jeff Lynne|Anoushka Shankar|Henrique Cazes|Carlos Malta	George Harrison
38832587	[r5637459]D1	1	Sinfonie Nr. 1 c-Moll, op. 68	-	Johannes Brahms
11181737	[r759506]A5	1	Art Bitch	CSS	-
6380999	[r1016061]1	9	With Every Heartbeat	Kleerup|Robyn|Girls Aloud|Beat Radio|The Futureheads|Grovesnor|Polarsets|Micedelia	Andreas Kleerup
24976839	[r3637143]B3	2	Falling Like Rain	Matt Skiba And The Sekrets	Matt Skiba
14128656	[r1891641]A	1	Cholly (Funk Gettin' Ready to Roll)	Funkadelic	-
19151316	[r1737175]1AA	1	Mad World	-	Roland Orzabal
1167084	[r26755]A2	3	Emerge	Fischerspooner	Warren Fischer|Casey Spooner
15881010	[r467141]17	4	Straight to Hell	-	Mick Jones|Paul Simonon|Topper Headon|Joe Strummer
33854102	[r469777]A	1	See Emily Play	-	Syd Barrett
35670123	[r720168]A	2	Take That Look Off Your Face	-	Don Black|Andrew Lloyd Webber
28985787	[r3722988]B1	4	Nobody's Car	Jethro Tull	Ian Anderson|Peter-John Vettese|Martin Barre
31900596	[r1320317]A	2	(I Can’t Get No) Satisfaction	-	Keith Richards|Mick Jagger
16478039	[r2632981]A	2	Got to Get You Into My Life	-	Paul McCartney|John Lennon
6916936	[r3452368]C	1	I See It in Us	H2O	-
8556480	[r6706963]6	1	El Amor	Azúcar Moreno	-
21106139	[r3151947]2	2	So Strong	Katherine Ellis|Jason Herd	-
15834545	[r5951608]B	1	Mon Peré (Für Meinen Vater)	Mireille Mathieu	-
38374264	[r416896]A	1	You’re the One That I Want	-	John Farrar
13083337	[r2097835]8	1	Bioluminescent	Neto	-
29261947	[r4162056]B3	2	Sonata for Piano no. 7 in C major, K. 284b/309: III. Rondeau. Allegretto grazioso	Daniel Barenboim	Wolfgang Amadeus Mozart
13129130	[r2143921]3	1	Heroine	The Dogs D'Amour	-
34136753	[r4307077]17	3	Sacrae Cantiones Liber secundus: IX. O sacrum convivium	Vocalconsort Berlin|James Wood	Carlo Gesualdo
31436364	[r737200]A	3	Lass mich nie mehr allein	Peter Alexander	Kurt Feltz|Heinz Gietz
6832795	[r427290]14	1	So träum ich	Selig	-
41097869	[r763077]B	2	You Just Like Me 'Cos I'm Good in Bed	Skyhooks|Missy Higgins	-
6674971	[r5759659]14	1	A Bad Case of Melancholy	The Spent Poets	-
30408893	[r2206955]C1	2	The World Today	Canned Heat|John Lee Hooker	-
17128191	[r2640406]1	2	Ragnaroek 2014	Rossomahaar	Lazar
39564906	[r404828]B5	3	Manon	Serge Gainsbourg|Lulu|Bambou	-
31466014	[r2568185]2	1	Baby Blues	Love Unlimited Orchestra	-
5506501	[r959811]A	1	C'mon and Swim	Ray Columbus & The Invaders	-
7997426	[r2205374]1-1	1	Pêche à la mouche	Django Reinhardt	-
30137913	[r4331192]7	1	Upside Down(Album version)	Denki Groove	-
8778365	[r1502645]A5	1	Not Cool	The dB's	-
28765200	[r4335988]B3	1	Theme & Variations #2	Bill Holman	-
7477862	[r2960745]A1	1	It's My Thang	MC Luscious	-
7297869	[r1278580]B	1	Dream of Dreams	Joe Sample	-
